,Comment,timestamp,sentiment,sentiment_label,year_month,HF_Sentiment,HF_Score_Confidence
32,Yes go trump we shouldn't have a immigrant as president and now they want to put a stupid racist ignorant woman in the white house,2016-08-25 00:29:11+00:00,-0.7579,Negative,2016-08,NEGATIVE,0.9989401698112488
33,Speaks the truth 100% This is a very convincing ad. Probably for even undecided voters. Unfortunately there is alot of trolls who wrote and will still write ridiculous comments.,2016-08-24 15:22:16+00:00,-0.1298,Negative,2016-08,POSITIVE,0.9987165927886963
34,"Great Ad! Well done! It's so true ""When we see those who are against Mr Trump we like him even more."" Indeed! Under certain people's constant intense scrutiny & nitpicking it seems  even God himself would not meet with their approval.Unreal! God bless Mr Trump & God bless America!",2016-08-23 21:50:56+00:00,0.9777,Positive,2016-08,POSITIVE,0.998637855052948
35,"the center for immigration studies was founded by racist who believe in eugenics, which means that they do not want the people who support trump to have children so that they can weed out dumb people of society. but I am guessing trump supporters are to dense to realize that this is a bad thing for their a president to support.",2016-08-23 13:52:10+00:00,-0.0672,Negative,2016-08,NEGATIVE,0.9978172779083252
36,****PRESIDENT TRUMP**** ALL THE WAY!,2016-08-23 05:47:19+00:00,0.0,Neutral,2016-08,POSITIVE,0.996576726436615
37,Just because Trump says something his followers believe him. He can say the earth is flat and they will still believe him. Just because he says its rigged that don't mean head right. And what if it is? He can't do nothing about it.,2016-08-22 23:36:21+00:00,-0.3612,Negative,2016-08,NEGATIVE,0.9986299276351929
38,DONALD TRUMP IS A CORRUPT RACIST BULLY,2016-08-22 23:09:18+00:00,-0.802,Negative,2016-08,NEGATIVE,0.9994509816169739
39,"Here's a connection some American's haven't made and, I think, Trump needs to articulate:  Terrorism and immigration are the same subject because everyone knows that terrorists can enter Mexico easily and then, just as easily, walk across our border.",2016-08-22 22:42:08+00:00,-0.7096,Negative,2016-08,NEGATIVE,0.9403905272483826
40,"He needs to fully apologize for his conspiracy theories about Mexico (sending criminals) and China (climate change hoax). Their leaders and Obama have done plenty of bad things, and the focus should be on fixing those real problems.
The ad is pretty good; emphasis beyond that should be on deporting CRIMINALS - a couple hundred-thousand, not millions and millions.",2016-08-22 15:37:50+00:00,-0.9192,Negative,2016-08,POSITIVE,0.9861511588096619
41,I hate Donald trump outrageous,2016-08-22 01:03:06+00:00,-0.7717,Negative,2016-08,NEGATIVE,0.9986305236816406
42,"this is absolutely fucking insane! every trump supporter is either retarded, or trolling the world. seriously you have to be 100% retarded to believe this man has what it takes to lead this country in a positive direction. the man and all of his lackeys are  buffoons. Jesus Christ! internet why aren't you shutting up all these fucking retards. -too many retards that's what it is. you are all too retarded to know that you are in fact fucking retarded. The GOP is fucking done! this idiot heralds its END and the beginning of a new age. your clown champion frames an appropriately pathetic end to the GOP. these are its last moments and they ooze desperation. you are all so stupid and simple...",2016-08-21 19:47:33+00:00,-0.9811,Negative,2016-08,NEGATIVE,0.9992377758026123
43,This does help Americans but Syrians will starve and get shoot by Isis,2016-08-21 15:17:52+00:00,-0.7269,Negative,2016-08,NEGATIVE,0.9843648672103882
44,"What a surprise is the comment of J.S. from Wallstreet Journal. Out of the only county in NY that Trump lost.

Don't forget, not just half of the Republican voters in New York think Wall Street hurts the American economy, among Democrats, almost two-thirds of NY voters said Wall Street hurts more than helps.

Sanders accused Hillary Clinton of being in the pocket of Wall Street 

J.S., he should rather focus on the person of Hillary and her behavior",2016-08-21 11:58:29+00:00,-0.6194,Negative,2016-08,NEGATIVE,0.9970067143440247
45,"Yo Momma so careless she lost track of 33,000 emails at her attorneys office. Oh ... that wasn't yo Momma !!!",2016-08-21 05:45:22+00:00,-0.7705,Negative,2016-08,NEGATIVE,0.998828113079071
46,rock on Trump.  let's take back our country,2016-08-21 04:56:56+00:00,0.0,Neutral,2016-08,POSITIVE,0.9988322854042053
47,polls are full of shit...go Trump,2016-08-21 04:56:55+00:00,0.0,Neutral,2016-08,NEGATIVE,0.9988937973976135
48,Yes Donald trump will be our president,2016-08-21 02:08:36+00:00,0.4019,Positive,2016-08,POSITIVE,0.9972139000892639
49,"You are now being called ""liberal media,"" along with Fox. This is hysterical!",2016-08-21 01:52:27+00:00,-0.1007,Negative,2016-08,NEGATIVE,0.9993008375167847
50,"wall street,  hah fuck that lying bitch Hillary Clinton.",2016-08-20 21:56:23+00:00,-0.8934,Negative,2016-08,NEGATIVE,0.9984915256500244
51,I like the ad!,2016-08-20 21:06:08+00:00,0.4199,Positive,2016-08,POSITIVE,0.9988400340080261
52,"I don't know which side these people are for,  but ALL of Hillary's ads are ANTI TRUMP and NOTHING about herself!  I got the impression that they thought this was a bad thing, but Hillary's ads belittle, demean, and intend to humiliate Donald Trump whereas Trumps ads merely point out the differences in their two plans for our country.",2016-08-20 20:43:48+00:00,-0.9541,Negative,2016-08,NEGATIVE,0.9994372725486755
53,"Lol illegal immigrants taking ""social security benefits"", that's when I had to stop watching. The only reason we still have social security is because undocumented workers contribute sales tax without recieving money from the government.",2016-08-20 20:34:53+00:00,0.5267,Positive,2016-08,NEGATIVE,0.9983325600624084
54,Great message. Keep danger out of America! Trump 2016,2016-08-20 19:14:26+00:00,0.2481,Positive,2016-08,POSITIVE,0.9987086057662964
55,I love how all Hillary could do in her ad is attack trump while we only told the truth and we explained what good we'd do Hillary is crooked we must wear red the day in November,2016-08-20 17:46:12+00:00,0.743,Positive,2016-08,NEGATIVE,0.9957524538040161
56,"Love the repeated use of the words ""secure"" and ""safe.""  Words even Democrats can understand!",2016-08-20 17:27:39+00:00,0.8687,Positive,2016-08,POSITIVE,0.9982107877731323
57,sure Mike please next time you write for me I'm sure you know what to say to Mr orange behalf of me thank you again to make it easier for me not to write anymore :),2016-08-20 17:18:13+00:00,0.9217,Positive,2016-08,POSITIVE,0.9943405389785767
58,"IF I WAS MR TRUMP, I WOULDN'T REGRET ANYTHING THAT I'D SAID. THAT'S BECAUSE I'M LOYAL, HONEST, & JUSTICE. STAY TRUE TO YOURSELF & SPEAK YOUR MIND MR TRUMP. YOU HAVE NOTHING TO LOSE. IF YOU SPEAK YOUR MIND MR TRUMP. THE WORLD WILL BE A BETTER PLACE WITH YOU AS A LEADER. YOU'RE NOT ONLY AMERICA'S MESSENGER, BUT YOU ARE INDEED A TEACHER & A PHILOSOPHER. IF CLINTON WIN, LET THOSE PEOPLE WHO VOTE FOR HER, REGRET. EVENTUALLY AMERICA IS BACK TO 8 YEARS OF OBAMA. WE'LL SEE, COMES NOV 08. GO TRUMP 2016!!!",2016-08-20 17:07:50+00:00,0.9459,Positive,2016-08,POSITIVE,0.99820876121521
59,"I am tired of the naysayers!  Donald Trump build an empire! When Donald Trump says I am thinking about building a new high rise hotel in the City of Chicago and it is probably going to be the best hotel in the city.  THAT IS WHAT HE DOES!  The TRUMP International hotel & Tower is the best hotel in the City of Chicago.  When Donald Trump says I am thinking of building a new hotel in Las Vegas and it is probably going to be the best hotel in the city of Las Vegas.  THAT IS WHAT HE DOES!  When Donald Trump says I am thinking about building a new golf club in Palm Beach Florida and it will probably be the best golf club in Florida if not the world.  THAT IS WHAT HE DOES! AND IT'S THE BEST!  and the Trump brand just keeps going on and on.  In business there is a term called cannibalization and it is the result of the negative impact of a company's new product or service on the sales performance of its existing products or services. What this means to TRUMP Enterprises is that because of the extremely high quality of product and service provided via TRUMP Enterprises the business have to be extremely geographically far apart thus they avoid the effects of cannibalization.  What does this mean?  It means that Mr. Trump's business ventures are of such a high quality that they are in a market by themselves and have no other competition within the space and the only completion is another TRUMP hotel, golf club and so on and so forth.",2016-08-20 15:55:38+00:00,0.9423,Positive,2016-08,POSITIVE,0.9981957077980042
60,MAKE AMERICA HATE AGAIN!,2016-08-20 15:38:22+00:00,-0.6114,Negative,2016-08,NEGATIVE,0.9961344003677368
61,🇺🇸 TRUMP 2016 🇺🇸,2016-08-20 14:55:02+00:00,0.0,Neutral,2016-08,POSITIVE,0.9947221279144287
62,Trump is great! Wall Street Journal is bias..............,2016-08-20 14:49:03+00:00,0.6114,Positive,2016-08,POSITIVE,0.9978173971176147
63,A guaranteed win for Trump!,2016-08-20 14:33:06+00:00,0.6239,Positive,2016-08,POSITIVE,0.9986485838890076
64,Go Trump!  The most qualified individual to ever seek the office of POTUS in modern history...  Kudos to Trump..,2016-08-20 13:35:46+00:00,0.5562,Positive,2016-08,POSITIVE,0.9988395571708679
65,"Trump lose , Hillary wins........ so simple .",2016-08-20 13:00:43+00:00,0.25,Positive,2016-08,POSITIVE,0.9958032965660095
66,"""i have the best words"" is it not what Drump said? Why does he not use the best words?",2016-08-20 09:16:16+00:00,0.2942,Positive,2016-08,NEGATIVE,0.9988162517547607
67,he has to make other people look bad just to make himself look better,2016-08-20 08:22:43+00:00,-0.1531,Negative,2016-08,NEGATIVE,0.9986157417297363
68,"0:17 The ad cites the Center for Immigration Studies, a harmless sounding name, but which is actually a known nativist and white supremacist hate group. Trump just quadrupled down. 

https://www.splcenter.org/20090201/nativist-lobby-three-faces-intolerance",2016-08-20 07:12:47+00:00,-0.6486,Negative,2016-08,NEGATIVE,0.9990227222442627
69,Hillary is corrupt and a liar.,2016-08-20 05:26:33+00:00,-0.5106,Negative,2016-08,NEGATIVE,0.9994174242019653
70,People talking about Republicans being racist when they were the ones that freed the slaves and gave them rights when the democrats opposed,2016-08-20 04:50:42+00:00,-0.3182,Negative,2016-08,NEGATIVE,0.8842707276344299
71,"Hilarious ad. He lists of a bunch of BS and half-truths about the opponent and then ends it by saying he'll do the exact opposite of everything he just listed. Sounds great! I just have one question: how? This reminds me of Ted Cruz during the debate when he promised to destroy ISIS and said ""We win. They lose."" Again, HOW?! There's already a huge budget deficit, but Trump is going to build a wall (never going to happen by the way), bolster the military, cut taxes for everyone (especially the ultra rich like himself), and increase spending like never before. And people think this is a good idea?? How stupid can you be.",2016-08-20 03:31:55+00:00,0.9527,Positive,2016-08,NEGATIVE,0.9991369843482971
72,A punch bellow the belt,2016-08-20 00:01:09+00:00,0.0,Neutral,2016-08,POSITIVE,0.9811459183692932
73,#ROCKSTEADYTRUMP NO MATTER WHAT,2016-08-19 23:57:03+00:00,-0.0191,Neutral,2016-08,NEGATIVE,0.9860806465148926
74,He was actually soft on Hillary.,2016-08-19 23:48:27+00:00,0.0,Neutral,2016-08,NEGATIVE,0.9916290044784546
75,Who is he try to win over with that ad? The people who think that was a good ad is already going to vote for him already. It won't win any new votes.,2016-08-19 22:21:59+00:00,0.5615,Positive,2016-08,NEGATIVE,0.9994637370109558
76,Trump for President 2016!,2016-08-19 22:10:40+00:00,0.0,Neutral,2016-08,POSITIVE,0.997462272644043
77,go donald trump yes (:,2016-08-19 21:11:13+00:00,0.7096,Positive,2016-08,POSITIVE,0.9984500408172607
78,"...Trump not only makes anti Clinton attack ads, Trump also writes, produces, and stars in most anti Trump ads.",2016-08-19 21:00:47+00:00,-0.5763,Negative,2016-08,NEGATIVE,0.9992062449455261
79,"I'm a racist, bigoted, rapist,  business failure trust fund cunt, and I approve this message.",2016-08-19 20:58:22+00:00,-0.9201,Negative,2016-08,NEGATIVE,0.9318561553955078
80,"recently in a rally, *trump tells his followers: ""I might lie to you.""* ..He's flat out *prepping them* to admit he has been *conning* his supportors all along..
READ THE SPEECH TRANSCRIPTS or Youtube: *trump I might lie to you*",2016-08-19 20:43:20+00:00,0.2023,Positive,2016-08,NEGATIVE,0.9994828701019287
81,"So, this just secured the entire Latino and first gen Americans vote for Hillary.",2016-08-19 20:41:26+00:00,0.4019,Positive,2016-08,POSITIVE,0.9975475668907166
82,"Trump using scams now,,trying to con black people pretending he cares,,in Louisiana with gifts,,Scam,scam,scam",2016-08-19 20:41:23+00:00,-0.5267,Negative,2016-08,NEGATIVE,0.999483585357666
83,hillary IS a lier (2:37)!,2016-08-19 20:31:53+00:00,0.0,Neutral,2016-08,NEGATIVE,0.9994482398033142
84,"Donald Trump lacks the temperament character, values, experience to be president of the United States of America.",2016-08-19 19:59:30+00:00,0.6705,Positive,2016-08,NEGATIVE,0.9994561076164246
85,Trump 2016!,2016-08-19 19:55:35+00:00,0.0,Neutral,2016-08,POSITIVE,0.9974414110183716
86,I'm voting for mr. Trump!,2016-08-19 19:38:21+00:00,0.0,Neutral,2016-08,POSITIVE,0.9986361861228943
87,The first of many great ads!!!                    Trump 2020!!! He already won 2016!!!,2016-08-19 19:00:26+00:00,0.8741,Positive,2016-08,POSITIVE,0.9984827637672424
88,both same videos. :)),2016-08-19 18:41:00+00:00,0.0,Neutral,2016-08,POSITIVE,0.9979956150054932
89,"I wouldn't be surprised if, with the backlash he's been receiving from fellow republicans, that's why he's started using a teleprompter. They're basically telling him he can't say a lot of his regular freewheeling stuff, so they have him say more subtle things. This prevents him from making overly rude remarks off the top of his head.",2016-08-19 17:55:40+00:00,-0.2479,Negative,2016-08,NEGATIVE,0.9973904490470886
90,"I don't know why you guys interview Jerry. This guy is selling his soul to the devil just to make sure Killary wins.  I mean, rationalizing that Killary is innocent for emailing & deleting classified documents. We all know that anybody who works for the DOD would've been terminated &/or go to prison if they did the same thing what Killary has done.",2016-08-19 16:55:20+00:00,-0.0772,Negative,2016-08,NEGATIVE,0.998979389667511
91,I SEE OMG LOL,2016-10-22 23:27:40+00:00,0.4215,Positive,2016-10,POSITIVE,0.9980395436286926
92,he has fired more vet then anyone lol,2016-09-19 23:05:56+00:00,-0.2023,Negative,2016-09,NEGATIVE,0.9985296726226807
93,Do not go all over the World.... mister Trump government... you stay where you are.... in the US... do your mistakes there.... it will be enough.,2016-09-19 17:06:02+00:00,-0.3612,Negative,2016-09,NEGATIVE,0.9965479969978333
94,"if the love of GOD is in every people and was made complete in ""US""
then there would't be sin, or crimes, bad weather. hunger, shabby homes, homelessness, vulgarity in movies: videos: DVDs: CDs: lyrics: media (any form): and the complete truth would have been told by every person to every person.",2016-09-14 18:01:50+00:00,0.0601,Positive,2016-09,POSITIVE,0.9907293915748596
95,GO TRUMP,2016-09-14 03:44:03+00:00,0.0,Neutral,2016-09,POSITIVE,0.9981260895729065
96,"Mr. Trump and Mike Pence have done so much for us.  Imagine if everyone who supported Trump/Pence gave a small fraction each week to his campaign.  I'm asking each and every Trump / Pence supporter to join me and millions like us in donating a mere $1 or $5 each, every week to his campaign. That's all! Would you do it if it made America great again?  God bless you if you can't afford it.  We love you anyway.",2016-09-13 18:58:54+00:00,0.9665,Positive,2016-09,POSITIVE,0.9875801205635071
97,"Whaaaaa! Jay. Move then, bitch! My Walmart doesn't have any of that shit.",2016-09-12 20:52:06+00:00,-0.8395,Negative,2016-09,NEGATIVE,0.9958847165107727
98,Take Obama back to his country his visa expire along time ago!!,2016-09-12 18:32:38+00:00,0.0,Neutral,2016-09,POSITIVE,0.9880974888801575
99,What a circus.,2016-09-12 08:53:11+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9992610812187195
100,Narcissistic fascist sociopath.,2016-09-11 15:40:48+00:00,-0.5574,Negative,2016-09,NEGATIVE,0.9978309273719788
101,Go Trump all the way to the White House!!!! 👍👍👍,2016-09-11 06:02:33+00:00,0.0,Neutral,2016-09,POSITIVE,0.9987503290176392
102,"He's in my home town saying he will make American great again, the last time I check American was never great. It was only great for the white people maybe while black people was being beaten by white people... hmmmm make American great again ok I see. I u understand where he's coming from but to be honest with you, honest American was never great.",2016-09-11 05:45:59+00:00,0.8645,Positive,2016-09,NEGATIVE,0.9958940744400024
103,"Donald,  If you stick to speeches like this one,  You will take this election by a landslide. 
Twink it to more voice and action like the last one minute and  Broom Stick doesn't stand a chance...  see ya at the White  House",2016-09-10 22:39:52+00:00,0.504,Positive,2016-09,POSITIVE,0.9981520771980286
104,Revealed: What Donald Trump has really been up to in Latin Americahttp://www.independent.co.uk/news/people/revealed-what-donald-trump-has-really-been-up-to-in-latin-america-a7234951.html,2016-09-10 19:28:10+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9922797679901123
105,"BLAH, BLAH,Blah<",2016-09-10 18:35:13+00:00,-0.2808,Negative,2016-09,NEGATIVE,0.9994581341743469
106,"Mr. Donald Trump is actually telling us what he thinks. Meanwhile, Hillary can't remember all of her lies so she is hiding from the media and keeping her mouth shut. Mr. Trump is talking about issues that actually affect our lives. Meanwhile, the only time Hillary speaks is to deflect her own crookedness onto Mr. Trump. How is it that everyone knows Hillary is a flip flopping liar and no one disputes that fact. Don't allow Hillary to deflect her short comings to Trump. For instance; Hillary is very ill and suffers from dementia. Deflect this onto Donald. Hillary is a pathological liar. Deflect this onto Donald. Where does it end? Like Obama said, ""She will say anything and do nothing!""This is probably the most truthful statement he ever made.VOTE FOR DONALD TRUMP FOR PRESIDENT OF OUR GREAT UNITED STATES OF AMERICA.",2016-09-10 15:03:37+00:00,-0.671,Negative,2016-09,POSITIVE,0.9271941184997559
107,MAYBE BLM DONT CARE TO WORK,2016-09-10 13:06:44+00:00,-0.3875,Negative,2016-09,NEGATIVE,0.9994713664054871
108,"Trump just fixed my doldrum.  Trump is giving public speeches everyday, sometimes 2x or 3x a day.  So what is Hillary doing? She's busy at home writing more emails.",2016-09-10 09:28:58+00:00,0.34,Positive,2016-09,POSITIVE,0.9967621564865112
109,"Its really sad we have so many uninformed people in this nation, im no fan of Hillary but gawd dam a Reality TV show star who couldnt even run a Casino? what Casino ever goes out of bussiness? this guy is just a big of lier as trump kick both of um out.",2016-09-10 06:41:52+00:00,-0.4656,Negative,2016-09,NEGATIVE,0.9994359612464905
110,Lock up media.,2016-09-10 04:50:37+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9988929629325867
111,That's so nice you showed the audience WTG Right Side Broadcasting,2016-09-10 03:22:48+00:00,0.7861,Positive,2016-09,POSITIVE,0.9980331063270569
112,Oh. another idiot meeting,2016-09-10 02:28:26+00:00,-0.5106,Negative,2016-09,NEGATIVE,0.9993796348571777
113,MADAME HILLARY IS WINNING BY A LANDSLIDE TRAMP IS A BORN LOSER,2016-09-10 01:26:37+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9788267612457275
114,"Trump 2016/ we the people.  Every rally is 16,000 plus!! Been at it!! People stand up for our freedom and our children!!",2016-09-10 00:34:42+00:00,0.7482,Positive,2016-09,POSITIVE,0.9987803101539612
115,"RIP Adam Petty. Went to school with that kid.
Never thought I'd see Richard open up for Trump.",2016-09-10 00:34:20+00:00,-0.2023,Negative,2016-09,NEGATIVE,0.9729793667793274
116,"he's right on the money.
From the global warming scam to mass immigration , this guy knows , completely in tune to what this dying country needs.
   Clinton , a vile and corrupted  *POS* , sold us out with NAFTA alone!
Her Clinton Foundation slush fund is criminal like her Russian Uranium Deal is pure TREASON!   She would've been HUNG in the time's of our founding fathers!!!!",2016-09-09 21:55:20+00:00,-0.9423,Negative,2016-09,NEGATIVE,0.9913980960845947
117,TRUMP 1,2016-09-09 20:47:21+00:00,0.0,Neutral,2016-09,POSITIVE,0.9976668357849121
118,"i emigrated from iran to sweden in the 80s and now a swedish citizen many years back , i really like Mr Donald Trump the next great American President , i dont think hes either republican or democrat hes something special hes definatly passionate on a personal level and not a corporate shill(only hes own wich is quite natural) , i thurally enjoy hes style yes he is extremely funny but thats part of hes charm to those that laugh at him u wont be laughing when he wins . oh Hillary for prison 2016 btw haha",2016-09-09 19:48:19+00:00,0.9721,Positive,2016-09,POSITIVE,0.9988810420036316
119,Has anyone noticed that everyone in there is white?,2016-09-09 19:18:49+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9994146823883057
120,"A vote for Trump would rid us the Clintons Bushes ,  and a new future ; USA.     AMERCIA FIRST",2016-09-09 17:30:29+00:00,0.0,Neutral,2016-09,POSITIVE,0.9985981583595276
121,1:07:10 XD That's hillarious. He's recording through another networks monitor.,2016-09-09 12:46:48+00:00,0.6739,Positive,2016-09,POSITIVE,0.9980731010437012
122,I believe he wants to cut them off financially first.  There won't be much left of them after that.,2016-09-09 12:43:17+00:00,-0.2732,Negative,2016-09,NEGATIVE,0.9994338154792786
123,North Carolina!! Get out and vote for Trump!!! . . . How in the hell did you EVER become a swing state for liberals??,2016-09-09 04:28:09+00:00,-0.798,Negative,2016-09,POSITIVE,0.9985479712486267
124,What a great man and speech.,2016-09-09 04:25:55+00:00,0.6249,Positive,2016-09,POSITIVE,0.9987412095069885
125,Trump has to be leading Hillary. Just look at his rallies compared to her's. He has a real shot at pulling this off.,2016-09-09 04:17:28+00:00,0.0,Neutral,2016-09,POSITIVE,0.99847811460495
126,Trump for Psych Ward!,2016-09-09 04:17:09+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9960475564002991
127,why you shouldn't vote trump: http://www.huffingtonpost.com/lisa-bloom/why-the-new-child-rape-ca_b_10619944.html,2016-09-09 04:03:36+00:00,0.0,Neutral,2016-09,NEGATIVE,0.9982777833938599
128,The General working with election is the best thing.  I am sure he will continue to be an adviser when Mr Trump is elected.   He will help to make wise decisions about the direction to take our country.   NO MORE CLINTON.  Clinton 's  for retirement.,2016-09-09 02:14:00+00:00,0.8544,Positive,2016-09,POSITIVE,0.9978995323181152
129,Thanks Trump!!!,2016-09-09 01:51:18+00:00,0.5826,Positive,2016-09,POSITIVE,0.9986039996147156
130,Donald Trump should be disqualified from running for president for using classified intelligence information during his presentation. He is a traitor to the Untied States and so are his idiot followers.,2016-09-09 01:38:10+00:00,-0.5046,Negative,2016-09,NEGATIVE,0.9994831085205078
131,"Wow, the outro was the most unprofessional thing Ive heard in a while, more unprofessional than the camera man. We are watching a speech not a movie, and we are watching in youtube no hd wide screen. If you want to improve your service thats fine, always good to aim better. But to come on and jock your camera man for filming that isn't essential gives a slight indication of unprofessionalism. You should come on apologise for the shakeyness, maybe make an excuse, blame it on hillarys camp if you wish and promise better. a 2/3min rant on your camera man reflects on your judgement to employ the right people.",2016-09-09 01:05:09+00:00,0.8911,Positive,2016-09,NEGATIVE,0.9994997978210449
132,trump sucks,2016-09-09 00:18:44+00:00,-0.3612,Negative,2016-09,NEGATIVE,0.9994625449180603
133,Richard Petty? LOL LEETTSSSSS  GOOOO!,2016-09-09 00:09:18+00:00,0.4633,Positive,2016-09,POSITIVE,0.9984371066093445
134,Dont sweat the camera work .. I subbed LOL,2016-09-09 00:01:49+00:00,0.5473,Positive,2016-09,NEGATIVE,0.9990922212600708
