,Comment,timestamp,sentiment,sentiment_label,year_month
543,"Fuck Donald Trump. I don't care who I offend.The guy is stupid and ignorant. People are stupid to think he's fit for presidency, he just bullshits and claims he will do things he can't. If elected he'll probably fuck America up.",2016-09-13 16:31:07+00:00,-0.9435,Negative,2016-09
544,"I Vote for Trump, Go Trump!!!!",2016-09-09 20:43:19+00:00,0.0,Neutral,2016-09
545,Trump looks like a corn husk doll,2016-09-07 18:34:23+00:00,0.3612,Positive,2016-09
547,Trump 4 president! Greetings from the Netherlands,2016-09-03 13:29:34+00:00,0.4753,Positive,2016-09
548,Donald Trump 2016 brothers and sisters!!!,2016-09-02 16:44:47+00:00,0.0,Neutral,2016-09
549,TRUMP 2016,2016-08-30 00:03:13+00:00,0.0,Neutral,2016-08
550,this is such bullshit. this is exactly what democrAts playbook is. Rules for radicals by Saul alinski who justified Satan as being the first radical in this book.,2016-08-25 01:34:12+00:00,-0.2732,Negative,2016-08
551,Yes go trump we shouldn't have a immigrant as president and now they want to put a stupid racist ignorant woman in the white house,2016-08-25 00:29:11+00:00,-0.7579,Negative,2016-08
552,Speaks the truth 100% This is a very convincing ad. Probably for even undecided voters. Unfortunately there is alot of trolls who wrote and will still write ridiculous comments.,2016-08-24 15:22:16+00:00,-0.1298,Negative,2016-08
553,"Great Ad! Well done! It's so true ""When we see those who are against Mr Trump we like him even more."" Indeed! Under certain people's constant intense scrutiny & nitpicking it seems  even God himself would not meet with their approval.Unreal! God bless Mr Trump & God bless America!",2016-08-23 21:50:56+00:00,0.9777,Positive,2016-08
554,"the center for immigration studies was founded by racist who believe in eugenics, which means that they do not want the people who support trump to have children so that they can weed out dumb people of society. but I am guessing trump supporters are to dense to realize that this is a bad thing for their a president to support.",2016-08-23 13:52:10+00:00,-0.0672,Negative,2016-08
555,****PRESIDENT TRUMP**** ALL THE WAY!,2016-08-23 05:47:19+00:00,0.0,Neutral,2016-08
556,Just because Trump says something his followers believe him. He can say the earth is flat and they will still believe him. Just because he says its rigged that don't mean head right. And what if it is? He can't do nothing about it.,2016-08-22 23:36:21+00:00,-0.3612,Negative,2016-08
557,DONALD TRUMP IS A CORRUPT RACIST BULLY,2016-08-22 23:09:18+00:00,-0.802,Negative,2016-08
558,"Here's a connection some American's haven't made and, I think, Trump needs to articulate:  Terrorism and immigration are the same subject because everyone knows that terrorists can enter Mexico easily and then, just as easily, walk across our border.",2016-08-22 22:42:08+00:00,-0.7096,Negative,2016-08
559,"He needs to fully apologize for his conspiracy theories about Mexico (sending criminals) and China (climate change hoax). Their leaders and Obama have done plenty of bad things, and the focus should be on fixing those real problems.
The ad is pretty good; emphasis beyond that should be on deporting CRIMINALS - a couple hundred-thousand, not millions and millions.",2016-08-22 15:37:50+00:00,-0.9192,Negative,2016-08
560,I hate Donald trump outrageous,2016-08-22 01:03:06+00:00,-0.7717,Negative,2016-08
561,"this is absolutely fucking insane! every trump supporter is either retarded, or trolling the world. seriously you have to be 100% retarded to believe this man has what it takes to lead this country in a positive direction. the man and all of his lackeys are  buffoons. Jesus Christ! internet why aren't you shutting up all these fucking retards. -too many retards that's what it is. you are all too retarded to know that you are in fact fucking retarded. The GOP is fucking done! this idiot heralds its END and the beginning of a new age. your clown champion frames an appropriately pathetic end to the GOP. these are its last moments and they ooze desperation. you are all so stupid and simple...",2016-08-21 19:47:33+00:00,-0.9811,Negative,2016-08
562,This does help Americans but Syrians will starve and get shoot by Isis,2016-08-21 15:17:52+00:00,-0.7269,Negative,2016-08
563,"What a surprise is the comment of J.S. from Wallstreet Journal. Out of the only county in NY that Trump lost.

Don't forget, not just half of the Republican voters in New York think Wall Street hurts the American economy, among Democrats, almost two-thirds of NY voters said Wall Street hurts more than helps.

Sanders accused Hillary Clinton of being in the pocket of Wall Street 

J.S., he should rather focus on the person of Hillary and her behavior",2016-08-21 11:58:29+00:00,-0.6194,Negative,2016-08
564,"Yo Momma so careless she lost track of 33,000 emails at her attorneys office. Oh ... that wasn't yo Momma !!!",2016-08-21 05:45:22+00:00,-0.7705,Negative,2016-08
566,rock on Trump.  let's take back our country,2016-08-21 04:56:56+00:00,0.0,Neutral,2016-08
567,polls are full of shit...go Trump,2016-08-21 04:56:55+00:00,0.0,Neutral,2016-08
568,Yes Donald trump will be our president,2016-08-21 02:08:36+00:00,0.4019,Positive,2016-08
569,"You are now being called ""liberal media,"" along with Fox. This is hysterical!",2016-08-21 01:52:27+00:00,-0.1007,Negative,2016-08
570,"wall street,  hah fuck that lying bitch Hillary Clinton.",2016-08-20 21:56:23+00:00,-0.8934,Negative,2016-08
571,I like the ad!,2016-08-20 21:06:08+00:00,0.4199,Positive,2016-08
572,"I don't know which side these people are for,  but ALL of Hillary's ads are ANTI TRUMP and NOTHING about herself!  I got the impression that they thought this was a bad thing, but Hillary's ads belittle, demean, and intend to humiliate Donald Trump whereas Trumps ads merely point out the differences in their two plans for our country.",2016-08-20 20:43:48+00:00,-0.9541,Negative,2016-08
573,"Lol illegal immigrants taking ""social security benefits"", that's when I had to stop watching. The only reason we still have social security is because undocumented workers contribute sales tax without recieving money from the government.",2016-08-20 20:34:53+00:00,0.5267,Positive,2016-08
576,Great message. Keep danger out of America! Trump 2016,2016-08-20 19:14:26+00:00,0.2481,Positive,2016-08
577,I love how all Hillary could do in her ad is attack trump while we only told the truth and we explained what good we'd do Hillary is crooked we must wear red the day in November,2016-08-20 17:46:12+00:00,0.743,Positive,2016-08
578,"Love the repeated use of the words ""secure"" and ""safe.""  Words even Democrats can understand!",2016-08-20 17:27:39+00:00,0.8687,Positive,2016-08
579,sure Mike please next time you write for me I'm sure you know what to say to Mr orange behalf of me thank you again to make it easier for me not to write anymore :),2016-08-20 17:18:13+00:00,0.9217,Positive,2016-08
580,"IF I WAS MR TRUMP, I WOULDN'T REGRET ANYTHING THAT I'D SAID. THAT'S BECAUSE I'M LOYAL, HONEST, & JUSTICE. STAY TRUE TO YOURSELF & SPEAK YOUR MIND MR TRUMP. YOU HAVE NOTHING TO LOSE. IF YOU SPEAK YOUR MIND MR TRUMP. THE WORLD WILL BE A BETTER PLACE WITH YOU AS A LEADER. YOU'RE NOT ONLY AMERICA'S MESSENGER, BUT YOU ARE INDEED A TEACHER & A PHILOSOPHER. IF CLINTON WIN, LET THOSE PEOPLE WHO VOTE FOR HER, REGRET. EVENTUALLY AMERICA IS BACK TO 8 YEARS OF OBAMA. WE'LL SEE, COMES NOV 08. GO TRUMP 2016!!!",2016-08-20 17:07:50+00:00,0.9459,Positive,2016-08
581,"I am tired of the naysayers!  Donald Trump build an empire! When Donald Trump says I am thinking about building a new high rise hotel in the City of Chicago and it is probably going to be the best hotel in the city.  THAT IS WHAT HE DOES!  The TRUMP International hotel & Tower is the best hotel in the City of Chicago.  When Donald Trump says I am thinking of building a new hotel in Las Vegas and it is probably going to be the best hotel in the city of Las Vegas.  THAT IS WHAT HE DOES!  When Donald Trump says I am thinking about building a new golf club in Palm Beach Florida and it will probably be the best golf club in Florida if not the world.  THAT IS WHAT HE DOES! AND IT'S THE BEST!  and the Trump brand just keeps going on and on.  In business there is a term called cannibalization and it is the result of the negative impact of a company's new product or service on the sales performance of its existing products or services. What this means to TRUMP Enterprises is that because of the extremely high quality of product and service provided via TRUMP Enterprises the business have to be extremely geographically far apart thus they avoid the effects of cannibalization.  What does this mean?  It means that Mr. Trump's business ventures are of such a high quality that they are in a market by themselves and have no other competition within the space and the only completion is another TRUMP hotel, golf club and so on and so forth.",2016-08-20 15:55:38+00:00,0.9423,Positive,2016-08
582,MAKE AMERICA HATE AGAIN!,2016-08-20 15:38:22+00:00,-0.6114,Negative,2016-08
583,🇺🇸 TRUMP 2016 🇺🇸,2016-08-20 14:55:02+00:00,0.0,Neutral,2016-08
584,Trump is great! Wall Street Journal is bias..............,2016-08-20 14:49:03+00:00,0.6114,Positive,2016-08
585,A guaranteed win for Trump!,2016-08-20 14:33:06+00:00,0.6239,Positive,2016-08
586,Go Trump!  The most qualified individual to ever seek the office of POTUS in modern history...  Kudos to Trump..,2016-08-20 13:35:46+00:00,0.5562,Positive,2016-08
587,"Trump lose , Hillary wins........ so simple .",2016-08-20 13:00:43+00:00,0.25,Positive,2016-08
588,"""i have the best words"" is it not what Drump said? Why does he not use the best words?",2016-08-20 09:16:16+00:00,0.2942,Positive,2016-08
589,he has to make other people look bad just to make himself look better,2016-08-20 08:22:43+00:00,-0.1531,Negative,2016-08
590,"0:17 The ad cites the Center for Immigration Studies, a harmless sounding name, but which is actually a known nativist and white supremacist hate group. Trump just quadrupled down. 

https://www.splcenter.org/20090201/nativist-lobby-three-faces-intolerance",2016-08-20 07:12:47+00:00,-0.6486,Negative,2016-08
591,Hillary is corrupt and a liar.,2016-08-20 05:26:33+00:00,-0.5106,Negative,2016-08
592,People talking about Republicans being racist when they were the ones that freed the slaves and gave them rights when the democrats opposed,2016-08-20 04:50:42+00:00,-0.3182,Negative,2016-08
593,"Hilarious ad. He lists of a bunch of BS and half-truths about the opponent and then ends it by saying he'll do the exact opposite of everything he just listed. Sounds great! I just have one question: how? This reminds me of Ted Cruz during the debate when he promised to destroy ISIS and said ""We win. They lose."" Again, HOW?! There's already a huge budget deficit, but Trump is going to build a wall (never going to happen by the way), bolster the military, cut taxes for everyone (especially the ultra rich like himself), and increase spending like never before. And people think this is a good idea?? How stupid can you be.",2016-08-20 03:31:55+00:00,0.9527,Positive,2016-08
594,A punch bellow the belt,2016-08-20 00:01:09+00:00,0.0,Neutral,2016-08
595,#ROCKSTEADYTRUMP NO MATTER WHAT,2016-08-19 23:57:03+00:00,-0.0191,Neutral,2016-08
597,He was actually soft on Hillary.,2016-08-19 23:48:27+00:00,0.0,Neutral,2016-08
598,Who is he try to win over with that ad? The people who think that was a good ad is already going to vote for him already. It won't win any new votes.,2016-08-19 22:21:59+00:00,0.5615,Positive,2016-08
599,Trump for President 2016!,2016-08-19 22:10:40+00:00,0.0,Neutral,2016-08
600,go donald trump yes (:,2016-08-19 21:11:13+00:00,0.7096,Positive,2016-08
601,"...Trump not only makes anti Clinton attack ads, Trump also writes, produces, and stars in most anti Trump ads.",2016-08-19 21:00:47+00:00,-0.5763,Negative,2016-08
602,"I'm a racist, bigoted, rapist,  business failure trust fund cunt, and I approve this message.",2016-08-19 20:58:22+00:00,-0.9201,Negative,2016-08
603,"recently in a rally, *trump tells his followers: ""I might lie to you.""* ..He's flat out *prepping them* to admit he has been *conning* his supportors all along..
READ THE SPEECH TRANSCRIPTS or Youtube: *trump I might lie to you*",2016-08-19 20:43:20+00:00,0.2023,Positive,2016-08
604,"So, this just secured the entire Latino and first gen Americans vote for Hillary.",2016-08-19 20:41:26+00:00,0.4019,Positive,2016-08
605,"Trump using scams now,,trying to con black people pretending he cares,,in Louisiana with gifts,,Scam,scam,scam",2016-08-19 20:41:23+00:00,-0.5267,Negative,2016-08
606,hillary IS a lier (2:37)!,2016-08-19 20:31:53+00:00,0.0,Neutral,2016-08
607,"Donald Trump lacks the temperament character, values, experience to be president of the United States of America.",2016-08-19 19:59:30+00:00,0.6705,Positive,2016-08
609,Trump 2016!,2016-08-19 19:55:35+00:00,0.0,Neutral,2016-08
611,I'm voting for mr. Trump!,2016-08-19 19:38:21+00:00,0.0,Neutral,2016-08
612,The first of many great ads!!!                    Trump 2020!!! He already won 2016!!!,2016-08-19 19:00:26+00:00,0.8741,Positive,2016-08
613,both same videos. :)),2016-08-19 18:41:00+00:00,0.0,Neutral,2016-08
614,"I wouldn't be surprised if, with the backlash he's been receiving from fellow republicans, that's why he's started using a teleprompter. They're basically telling him he can't say a lot of his regular freewheeling stuff, so they have him say more subtle things. This prevents him from making overly rude remarks off the top of his head.",2016-08-19 17:55:40+00:00,-0.2479,Negative,2016-08
616,"I don't know why you guys interview Jerry. This guy is selling his soul to the devil just to make sure Killary wins.  I mean, rationalizing that Killary is innocent for emailing & deleting classified documents. We all know that anybody who works for the DOD would've been terminated &/or go to prison if they did the same thing what Killary has done.",2016-08-19 16:55:20+00:00,-0.0772,Negative,2016-08
618,I SEE OMG LOL,2016-10-22 23:27:40+00:00,0.4215,Positive,2016-10
620,he has fired more vet then anyone lol,2016-09-19 23:05:56+00:00,-0.2023,Negative,2016-09
623,Do not go all over the World.... mister Trump government... you stay where you are.... in the US... do your mistakes there.... it will be enough.,2016-09-19 17:06:02+00:00,-0.3612,Negative,2016-09
624,"if the love of GOD is in every people and was made complete in ""US""
then there would't be sin, or crimes, bad weather. hunger, shabby homes, homelessness, vulgarity in movies: videos: DVDs: CDs: lyrics: media (any form): and the complete truth would have been told by every person to every person.",2016-09-14 18:01:50+00:00,0.0601,Positive,2016-09
625,GO TRUMP,2016-09-14 03:44:03+00:00,0.0,Neutral,2016-09
626,"Mr. Trump and Mike Pence have done so much for us.  Imagine if everyone who supported Trump/Pence gave a small fraction each week to his campaign.  I'm asking each and every Trump / Pence supporter to join me and millions like us in donating a mere $1 or $5 each, every week to his campaign. That's all! Would you do it if it made America great again?  God bless you if you can't afford it.  We love you anyway.",2016-09-13 18:58:54+00:00,0.9665,Positive,2016-09
627,"Whaaaaa! Jay. Move then, bitch! My Walmart doesn't have any of that shit.",2016-09-12 20:52:06+00:00,-0.8395,Negative,2016-09
628,Take Obama back to his country his visa expire along time ago!!,2016-09-12 18:32:38+00:00,0.0,Neutral,2016-09
630,What a circus.,2016-09-12 08:53:11+00:00,0.0,Neutral,2016-09
631,Narcissistic fascist sociopath.,2016-09-11 15:40:48+00:00,-0.5574,Negative,2016-09
632,Go Trump all the way to the White House!!!! 👍👍👍,2016-09-11 06:02:33+00:00,0.0,Neutral,2016-09
633,"He's in my home town saying he will make American great again, the last time I check American was never great. It was only great for the white people maybe while black people was being beaten by white people... hmmmm make American great again ok I see. I u understand where he's coming from but to be honest with you, honest American was never great.",2016-09-11 05:45:59+00:00,0.8645,Positive,2016-09
634,"Donald,  If you stick to speeches like this one,  You will take this election by a landslide. 
Twink it to more voice and action like the last one minute and  Broom Stick doesn't stand a chance...  see ya at the White  House",2016-09-10 22:39:52+00:00,0.504,Positive,2016-09
636,Revealed: What Donald Trump has really been up to in Latin Americahttp://www.independent.co.uk/news/people/revealed-what-donald-trump-has-really-been-up-to-in-latin-america-a7234951.html,2016-09-10 19:28:10+00:00,0.0,Neutral,2016-09
637,"BLAH, BLAH,Blah<",2016-09-10 18:35:13+00:00,-0.2808,Negative,2016-09
638,"Mr. Donald Trump is actually telling us what he thinks. Meanwhile, Hillary can't remember all of her lies so she is hiding from the media and keeping her mouth shut. Mr. Trump is talking about issues that actually affect our lives. Meanwhile, the only time Hillary speaks is to deflect her own crookedness onto Mr. Trump. How is it that everyone knows Hillary is a flip flopping liar and no one disputes that fact. Don't allow Hillary to deflect her short comings to Trump. For instance; Hillary is very ill and suffers from dementia. Deflect this onto Donald. Hillary is a pathological liar. Deflect this onto Donald. Where does it end? Like Obama said, ""She will say anything and do nothing!""This is probably the most truthful statement he ever made.VOTE FOR DONALD TRUMP FOR PRESIDENT OF OUR GREAT UNITED STATES OF AMERICA.",2016-09-10 15:03:37+00:00,-0.671,Negative,2016-09
641,MAYBE BLM DONT CARE TO WORK,2016-09-10 13:06:44+00:00,-0.3875,Negative,2016-09
642,"Trump just fixed my doldrum.  Trump is giving public speeches everyday, sometimes 2x or 3x a day.  So what is Hillary doing? She's busy at home writing more emails.",2016-09-10 09:28:58+00:00,0.34,Positive,2016-09
643,"Its really sad we have so many uninformed people in this nation, im no fan of Hillary but gawd dam a Reality TV show star who couldnt even run a Casino? what Casino ever goes out of bussiness? this guy is just a big of lier as trump kick both of um out.",2016-09-10 06:41:52+00:00,-0.4656,Negative,2016-09
644,Lock up media.,2016-09-10 04:50:37+00:00,0.0,Neutral,2016-09
645,That's so nice you showed the audience WTG Right Side Broadcasting,2016-09-10 03:22:48+00:00,0.7861,Positive,2016-09
646,Oh. another idiot meeting,2016-09-10 02:28:26+00:00,-0.5106,Negative,2016-09
647,MADAME HILLARY IS WINNING BY A LANDSLIDE TRAMP IS A BORN LOSER,2016-09-10 01:26:37+00:00,0.0,Neutral,2016-09
648,"Trump 2016/ we the people.  Every rally is 16,000 plus!! Been at it!! People stand up for our freedom and our children!!",2016-09-10 00:34:42+00:00,0.7482,Positive,2016-09
649,"RIP Adam Petty. Went to school with that kid.
Never thought I'd see Richard open up for Trump.",2016-09-10 00:34:20+00:00,-0.2023,Negative,2016-09
650,"he's right on the money.
From the global warming scam to mass immigration , this guy knows , completely in tune to what this dying country needs.
   Clinton , a vile and corrupted  *POS* , sold us out with NAFTA alone!
Her Clinton Foundation slush fund is criminal like her Russian Uranium Deal is pure TREASON!   She would've been HUNG in the time's of our founding fathers!!!!",2016-09-09 21:55:20+00:00,-0.9423,Negative,2016-09
651,TRUMP 1,2016-09-09 20:47:21+00:00,0.0,Neutral,2016-09
652,"i emigrated from iran to sweden in the 80s and now a swedish citizen many years back , i really like Mr Donald Trump the next great American President , i dont think hes either republican or democrat hes something special hes definatly passionate on a personal level and not a corporate shill(only hes own wich is quite natural) , i thurally enjoy hes style yes he is extremely funny but thats part of hes charm to those that laugh at him u wont be laughing when he wins . oh Hillary for prison 2016 btw haha",2016-09-09 19:48:19+00:00,0.9721,Positive,2016-09
653,Has anyone noticed that everyone in there is white?,2016-09-09 19:18:49+00:00,0.0,Neutral,2016-09
654,"A vote for Trump would rid us the Clintons Bushes ,  and a new future ; USA.     AMERCIA FIRST",2016-09-09 17:30:29+00:00,0.0,Neutral,2016-09
655,1:07:10 XD That's hillarious. He's recording through another networks monitor.,2016-09-09 12:46:48+00:00,0.6739,Positive,2016-09
656,I believe he wants to cut them off financially first.  There won't be much left of them after that.,2016-09-09 12:43:17+00:00,-0.2732,Negative,2016-09
657,North Carolina!! Get out and vote for Trump!!! . . . How in the hell did you EVER become a swing state for liberals??,2016-09-09 04:28:09+00:00,-0.798,Negative,2016-09
658,What a great man and speech.,2016-09-09 04:25:55+00:00,0.6249,Positive,2016-09
659,Trump has to be leading Hillary. Just look at his rallies compared to her's. He has a real shot at pulling this off.,2016-09-09 04:17:28+00:00,0.0,Neutral,2016-09
660,Trump for Psych Ward!,2016-09-09 04:17:09+00:00,0.0,Neutral,2016-09
661,why you shouldn't vote trump: http://www.huffingtonpost.com/lisa-bloom/why-the-new-child-rape-ca_b_10619944.html,2016-09-09 04:03:36+00:00,0.0,Neutral,2016-09
662,The General working with election is the best thing.  I am sure he will continue to be an adviser when Mr Trump is elected.   He will help to make wise decisions about the direction to take our country.   NO MORE CLINTON.  Clinton 's  for retirement.,2016-09-09 02:14:00+00:00,0.8544,Positive,2016-09
663,Thanks Trump!!!,2016-09-09 01:51:18+00:00,0.5826,Positive,2016-09
664,Donald Trump should be disqualified from running for president for using classified intelligence information during his presentation. He is a traitor to the Untied States and so are his idiot followers.,2016-09-09 01:38:10+00:00,-0.5046,Negative,2016-09
665,"Wow, the outro was the most unprofessional thing Ive heard in a while, more unprofessional than the camera man. We are watching a speech not a movie, and we are watching in youtube no hd wide screen. If you want to improve your service thats fine, always good to aim better. But to come on and jock your camera man for filming that isn't essential gives a slight indication of unprofessionalism. You should come on apologise for the shakeyness, maybe make an excuse, blame it on hillarys camp if you wish and promise better. a 2/3min rant on your camera man reflects on your judgement to employ the right people.",2016-09-09 01:05:09+00:00,0.8911,Positive,2016-09
666,trump sucks,2016-09-09 00:18:44+00:00,-0.3612,Negative,2016-09
667,Richard Petty? LOL LEETTSSSSS  GOOOO!,2016-09-09 00:09:18+00:00,0.4633,Positive,2016-09
668,Dont sweat the camera work .. I subbed LOL,2016-09-09 00:01:49+00:00,0.5473,Positive,2016-09
669,"4th Grade Level English, simple words repeated over and over again.  The North Crackalacky Crowd ""gets it"" (up the ass on election day). Surprisingly, they all spelled U S A with out any mistakes!!!",2016-09-08 23:35:26+00:00,-0.6884,Negative,2016-09
671,Wish I could vote in your country Trump would have my vote. I am stuck with the Muslim loving idiot Justin Trudeau.,2016-09-08 22:11:43+00:00,0.3182,Positive,2016-09
672,"Thanks To Honest ""Right Side Broadcasting"" for keeping it real!!",2016-09-08 21:34:31+00:00,0.7772,Positive,2016-09
673,"PEOPLE, OBAMA/HILLY IS GIVING AWAY 100$ TABLETS FOR VOTES, CHECK OUT GOOGLE   ""OBAMA TABLETS FOR VOTES""",2016-09-08 21:23:04+00:00,0.4824,Positive,2016-09
675,Trump 2016!!!!!!!!!!!,2016-09-08 20:03:16+00:00,0.0,Neutral,2016-09
676,"Problem is all her crimes (that we know of) are white collar crimes and I'm taking a class on white collar crime and vast majority of people don't really understand or care that much about white collar crime because it's 'not as bad' as rape, murder, or the other blue collar crimes the media constantly focuses on. White collar crime is too complicated, plain and boring leading most people to not really care and the perpetrators tend to be much smarter and better at concealing their crimes",2016-09-08 19:54:13+00:00,-0.9554,Negative,2016-09
677,TEAM TRUMP RULES,2016-09-08 19:34:44+00:00,0.0,Neutral,2016-09
679,"Germany and France is so mess up with immigration ,,Muslim want sharia law in France and Germany...check it out on immigration in France and Germany",2016-09-08 19:22:49+00:00,-0.4481,Negative,2016-09
682,Trump is full of shit,2016-09-08 18:42:21+00:00,-0.5574,Negative,2016-09
683,"The Donald = The White House
Hillary = The Big House",2016-09-08 18:11:14+00:00,0.0,Neutral,2016-09
684,I see why Richard Petty is wearing sunglasses.  The glare off those balding white heads is blinding.,2016-09-08 18:02:49+00:00,-0.2023,Negative,2016-09
685,"Ivanka TRUMP : My father will deliver, he will over deliver !",2016-09-08 17:53:39+00:00,0.0,Neutral,2016-09
687,"Instead of surveillance on the People... FBI interviews and interrogations should be video taped.  In fact, all meetings with all elected officials should be video taped as a matter of record and complete transparency.  No secret deals allowed!  Add this to our Rule of Law... which is the only law worth support.  All other Laws are designed to enslave the People US and protect the guilty Government Officials and Administration for their acts of TREASON.  We The People... should have all the facts to make good decisions for America.",2016-09-08 16:39:17+00:00,-0.5893,Negative,2016-09
688,Hillary had 37K views on her Ohio speech and that is probably people looking to see her health issues.  Imagine that compared with 123K already on the one,2016-09-08 16:26:05+00:00,0.0,Neutral,2016-09
689,thanks for showing it and thank you right side,2016-09-08 15:09:38+00:00,0.6597,Positive,2016-09
690,let me find a old nascar driver that will make them believe me..,2016-09-08 15:08:55+00:00,0.0,Neutral,2016-09
692,WHY do I love this guy????,2016-09-08 15:04:45+00:00,0.7319,Positive,2016-09
693,I don't know about tomorrow on the Clinton's but their body count keep getting higher... they are getting by with murder and that is the facts...,2016-09-08 14:32:12+00:00,-0.8201,Negative,2016-09
694,RSBN thanks for everything... don't care about the quality.  You can do no wrong.,2016-09-08 14:11:47+00:00,0.4265,Positive,2016-09
695,"♩ ♪ ♫ ♬ ♭ ♮ ♯ *_Where have all the white men gone. Gone to Trump rallies everywhere. ♩ ♪ ♫ ♬ ♭ ♮ ♯  When will white man get their privilege back . If they___** vote for Truuuump. When will white man get laid again - long time passing .... ♩ ♪ ♫ ♬ ♭ ♮ ♯  Where have all the white mind players gone long time passing. Where has all the prejudice gone, long time passing.  ♩ ♪ ♫ ♬ ♭ ♮ ♯ When will they ever learn*_ ♩ ♪ ♫ ♬ ♭ ♮ ♯ Never they will never learn, but will always have a head trip , a baseball cap, Jesus and a gun.",2016-09-08 12:45:42+00:00,-0.5423,Negative,2016-09
696,"Trump is so mouthy and sounds like a mobster. He plans to insult his way into the Oval Office. He attempts by using intimidation. He will say any-thing and extend promises just to win such power. He is a disgusting scam and is a frightened puss. And, right now his play the Black church card. He makes me throw-up thru his manipulation and silver tongue. I do not trust him.",2016-09-08 11:24:52+00:00,-0.8403,Negative,2016-09
697,"Hillary Clinton is completely protected by her cronies, the globalists, and the mainstream media. That's why it's gonna take a strong tough billionaire to knock her down and turn the tide. We already are ending up like a 3rd world country where it is ruled by rich elites and no middle class, and the rest are serfs working to death, fighting over resources and forcing to accept all kinds of immigrants who refuse to assimilate to the values of the country that is feeding, clothing, sheltering and rescuing them. Trump can turn the tide.",2016-09-08 10:14:53+00:00,0.7645,Positive,2016-09
698,Vote Trump ... Scandinavian thoughts,2016-09-08 09:34:08+00:00,0.0,Neutral,2016-09
699,don't fire him train him,2016-09-08 06:54:43+00:00,0.2584,Positive,2016-09
